impressions,clicks,click_rate,session_length_secs,unique_sites,unique_apps,device_type,device_conn_type,ua_len,hour_mean,hour_std,interclick_mean,interclick_std,c14_nunique,c15_nunique,c16_nunique,c17_nunique,c18_nunique,c19_nunique,c20_nunique,c21_nunique
5,1,0.2,180,1,1,1,1,80,13,0.5,45,10,1,1,1,1,1,1,1,1
10,2,0.2,300,2,1,1,1,75,16,0.3,30,8,1,1,1,1,1,1,1,1
6,1,0.166,200,1,1,1,1,90,14,0.5,40,12,2,2,2,2,2,2,2,2
4,1,0.25,240,1,1,1,1,85,15,0.4,60,20,1,1,1,1,1,1,1,1
3,1,0.33,100,1,1,1,1,95,11,0.2,20,5,1,1,1,1,1,1,1,1
8,1,0.125,400,1,1,1,1,70,17,0.6,50,15,1,1,1,1,1,1,1,1
5,0,0.0,360,1,1,1,1,88,10,0.3,55,10,1,1,1,1,1,1,1,1
7,1,0.14,250,1,1,1,1,77,19,0.5,30,8,1,1,1,1,1,1,1,1
50,45,0.9,60,20,10,0,0,12,3,0.1,1,0.5,5,5,5,5,5,5,5,5
70,68,0.97,45,25,12,0,0,11,2,0.1,0.8,0.2,6,6,6,6,6,6,6,6
30,25,0.83,90,15,8,0,0,14,4,0.2,2,0.5,4,4,4,4,4,4,4,4
40,30,0.75,80,18,10,0,0,10,5,0.2,1.5,0.3,5,5,5,5,5,5,5,5
